time,eui-e8e1e1000104c51e
2023-06-28 18:00:00,50.5
2023-06-28 18:30:00,50.5
2023-06-28 19:00:00,50.0
2023-06-28 19:30:00,50.5
2023-06-28 20:00:00,50.6
2023-06-29 09:00:00,51.2
2023-06-29 09:30:00,52.0
2023-06-29 10:00:00,50.2
2023-06-29 10:30:00,52.5
2023-06-29 11:00:00,50.3
2023-06-29 11:30:00,50.2
2023-06-29 12:00:00,49.6
2023-06-29 12:30:00,52.0
2023-06-29 13:00:00,51.7
2023-06-29 13:30:00,44.7
2023-06-29 14:00:00,51.0
2023-06-29 14:30:00,50.5
2023-06-29 15:00:00,50.2
2023-06-29 15:30:00,50.8
2023-06-29 16:00:00,49.5
2023-06-29 16:30:00,50.2
2023-06-29 17:00:00,51.3
2023-06-29 17:30:00,51.8
2023-06-29 18:00:00,51.8
2023-06-29 18:30:00,50.5
2023-06-29 19:00:00,50.5
2023-06-29 19:30:00,51.3
2023-06-29 20:00:00,51.5
2023-06-30 09:00:00,51.2
2023-06-30 09:30:00,52.5
2023-06-30 10:00:00,53.3
2023-06-30 10:30:00,52.6
2023-06-30 11:00:00,50.4
2023-06-30 11:30:00,52.8
2023-06-30 12:00:00,51.7
2023-06-30 12:30:00,51.4
2023-06-30 13:00:00,49.8
2023-06-30 13:30:00,50.2
2023-06-30 14:00:00,51.8
2023-06-30 14:30:00,51.4
2023-06-30 15:00:00,52.0
2023-06-30 15:30:00,51.8
2023-06-30 16:00:00,51.5
2023-06-30 16:30:00,51.4
2023-06-30 17:00:00,50.3
2023-06-30 17:30:00,50.3
2023-06-30 18:00:00,51.8
2023-06-30 18:30:00,50.0
2023-06-30 19:00:00,50.0
2023-06-30 19:30:00,50.8
2023-06-30 20:00:00,51.3
2023-07-01 09:00:00,51.3
2023-07-01 09:30:00,51.7
2023-07-01 10:00:00,51.0
2023-07-01 10:30:00,50.8
2023-07-01 11:00:00,50.5
2023-07-01 11:30:00,50.4
2023-07-01 12:00:00,53.5
2023-07-01 12:30:00,50.3
2023-07-01 13:00:00,50.3
2023-07-01 13:30:00,51.2
2023-07-01 14:00:00,51.6
2023-07-01 14:30:00,50.7
2023-07-01 15:00:00,49.3
2023-07-01 15:30:00,43.0
2023-07-01 16:00:00,50.7
2023-07-01 16:30:00,51.3
2023-07-01 17:00:00,52.4
2023-07-01 17:30:00,52.3
2023-07-01 18:00:00,50.8
2023-07-01 18:30:00,49.5
2023-07-01 19:00:00,51.3
2023-07-01 19:30:00,50.8
2023-07-01 20:00:00,50.6
2023-07-02 09:00:00,51.2
2023-07-02 09:30:00,50.4
2023-07-02 10:00:00,50.2
2023-07-02 10:30:00,51.2
2023-07-02 11:00:00,50.7
2023-07-02 11:30:00,49.4
2023-07-02 12:00:00,52.3
2023-07-02 12:30:00,50.8
2023-07-02 13:00:00,50.7
2023-07-02 13:30:00,50.2
2023-07-02 14:00:00,49.8
2023-07-02 14:30:00,50.5
2023-07-02 15:00:00,50.2
2023-07-02 15:30:00,50.8
2023-07-02 16:00:00,52.5
2023-07-02 16:30:00,51.0
2023-07-02 17:00:00,49.5
2023-07-02 17:30:00,49.4
2023-07-02 18:00:00,50.4
2023-07-02 18:30:00,49.5
2023-07-02 19:00:00,50.6
2023-07-02 19:30:00,49.0
2023-07-02 20:00:00,51.8
