time,eui-e8e1e1000104c5ca
17/06/2023 18:00,39
17/06/2023 18:30,39
17/06/2023 19:00,39
17/06/2023 19:30,39
17/06/2023 20:00,39
18/06/2023 09:00,39
18/06/2023 09:30,39
18/06/2023 10:30,39
18/06/2023 11:00,39
18/06/2023 11:30,39
18/06/2023 12:00,39
18/06/2023 12:30,39
18/06/2023 13:00,39
18/06/2023 13:30,39
18/06/2023 14:00,39
18/06/2023 14:30,39
18/06/2023 15:00,39
18/06/2023 15:30,39
18/06/2023 16:00,39
18/06/2023 16:30,39
18/06/2023 17:00,39
18/06/2023 17:30,39
18/06/2023 18:00,39
18/06/2023 18:30,39
18/06/2023 19:00,39
18/06/2023 19:30,39
18/06/2023 20:00,39
19/06/2023 09:00,39
19/06/2023 09:30,39
19/06/2023 10:00,39
19/06/2023 10:30,39
19/06/2023 11:00,39
19/06/2023 11:30,39
19/06/2023 12:00,39
19/06/2023 12:30,39
19/06/2023 13:00,39
19/06/2023 13:30,39
19/06/2023 14:00,39
19/06/2023 14:30,39
19/06/2023 15:30,39
19/06/2023 16:00,39
19/06/2023 16:30,39
19/06/2023 17:00,39
19/06/2023 17:30,39
19/06/2023 18:00,39
19/06/2023 18:30,39
19/06/2023 19:00,39
19/06/2023 20:00,39
20/06/2023 09:00,39
20/06/2023 09:30,39
20/06/2023 10:00,39
20/06/2023 10:30,39
20/06/2023 11:30,39
20/06/2023 12:00,39
20/06/2023 13:00,39
20/06/2023 13:30,39
20/06/2023 14:00,39
20/06/2023 14:30,39
20/06/2023 15:00,39
20/06/2023 15:30,39
20/06/2023 16:00,39
20/06/2023 17:00,39
20/06/2023 17:30,39
20/06/2023 18:00,39
20/06/2023 18:30,39
20/06/2023 19:00,39
20/06/2023 19:30,39
20/06/2023 20:00,39
21/06/2023 09:00,39
21/06/2023 09:30,39
21/06/2023 10:30,39
21/06/2023 11:00,39
21/06/2023 11:30,39
21/06/2023 12:30,39
21/06/2023 13:30,39
21/06/2023 14:00,39
21/06/2023 14:30,39
21/06/2023 15:00,39
21/06/2023 17:00,39
21/06/2023 17:30,39
21/06/2023 18:00,39
21/06/2023 18:30,39
21/06/2023 19:00,39
21/06/2023 19:30,39
22/06/2023 09:00,39
22/06/2023 09:30,39
22/06/2023 10:30,39
22/06/2023 11:00,39
22/06/2023 12:00,39
22/06/2023 12:30,39
22/06/2023 13:00,39
22/06/2023 13:30,39
22/06/2023 14:00,39
22/06/2023 15:30,39
22/06/2023 16:00,39
22/06/2023 16:30,39
22/06/2023 17:00,39
22/06/2023 17:30,39
22/06/2023 18:30,39
22/06/2023 19:00,39
22/06/2023 19:30,39
22/06/2023 20:00,39
23/06/2023 09:00,39
23/06/2023 09:30,39
23/06/2023 10:00,39
23/06/2023 10:30,39
23/06/2023 11:00,39
23/06/2023 11:30,39
23/06/2023 12:00,39
23/06/2023 13:00,39
23/06/2023 13:30,39
23/06/2023 14:30,39
23/06/2023 15:00,39
23/06/2023 15:30,39
23/06/2023 17:00,39
23/06/2023 17:30,39
23/06/2023 18:30,39
23/06/2023 19:00,39
23/06/2023 19:30,39
23/06/2023 20:00,39
24/06/2023 09:00,39
24/06/2023 09:30,39
24/06/2023 10:00,39
24/06/2023 10:30,39
24/06/2023 11:00,39
24/06/2023 14:30,39
24/06/2023 18:30,39
24/06/2023 19:00,39
24/06/2023 19:30,39
24/06/2023 20:00,39
25/06/2023 09:30,39
25/06/2023 10:00,39
25/06/2023 10:30,39
25/06/2023 11:00,39
25/06/2023 11:30,39
25/06/2023 12:00,39
25/06/2023 12:30,39
25/06/2023 13:00,39
25/06/2023 13:30,39
25/06/2023 14:00,39
25/06/2023 14:30,39
25/06/2023 15:00,39
25/06/2023 15:30,39
25/06/2023 16:00,39
25/06/2023 16:30,39
