time,eui-e8e1e1000104c51e
21/06/2023 20:00,50.6
22/06/2023 09:00,51.4
22/06/2023 09:30,51.2
22/06/2023 10:00,51.0
22/06/2023 10:30,50.5
22/06/2023 11:00,50.7
22/06/2023 11:30,51.8
22/06/2023 12:00,52.0
22/06/2023 12:30,50.8
22/06/2023 13:00,50.2
22/06/2023 13:30,52.4
22/06/2023 14:00,51.2
22/06/2023 14:30,50.5
22/06/2023 15:00,42.3
22/06/2023 15:30,50.6
22/06/2023 16:00,49.7
22/06/2023 16:30,50.3
22/06/2023 17:00,51.8
22/06/2023 17:30,49.3
22/06/2023 18:00,50.3
22/06/2023 18:30,50.0
22/06/2023 19:00,49.3
22/06/2023 19:30,50.5
22/06/2023 20:00,50.0
23/06/2023 09:00,51.7
23/06/2023 09:30,50.0
23/06/2023 10:00,52.6
23/06/2023 10:30,50.5
23/06/2023 11:00,52.0
23/06/2023 11:30,51.7
23/06/2023 12:00,51.3
23/06/2023 12:30,51.5
23/06/2023 13:00,50.7
23/06/2023 13:30,49.0
23/06/2023 14:00,50.7
23/06/2023 14:30,49.8
23/06/2023 15:00,52.0
23/06/2023 15:30,50.2
23/06/2023 16:00,50.3
23/06/2023 16:30,49.7
23/06/2023 17:00,50.3
23/06/2023 17:30,50.5
23/06/2023 18:00,49.0
23/06/2023 18:30,48.7
23/06/2023 19:00,51.8
23/06/2023 19:30,51.8
23/06/2023 20:00,50.2
24/06/2023 09:00,51.3
24/06/2023 09:30,50.2
24/06/2023 10:00,51.6
24/06/2023 10:30,51.5
24/06/2023 11:00,51.4
24/06/2023 11:30,50.8
24/06/2023 12:00,49.2
24/06/2023 12:30,49.8
24/06/2023 13:00,48.2
24/06/2023 13:30,51.0
24/06/2023 14:00,50.0
24/06/2023 14:30,50.2
24/06/2023 15:00,49.0
24/06/2023 15:30,51.2
24/06/2023 16:00,50.0
24/06/2023 16:30,50.2
24/06/2023 17:00,42.3
24/06/2023 17:30,50.5
24/06/2023 18:00,48.8
24/06/2023 18:30,45.7
24/06/2023 19:00,50.8
24/06/2023 19:30,46.5
24/06/2023 20:00,47.8
25/06/2023 09:00,48.8
25/06/2023 09:30,43.0
25/06/2023 10:00,50.7
25/06/2023 10:30,49.4
25/06/2023 11:00,48.5
25/06/2023 11:30,49.0
25/06/2023 12:00,49.6
25/06/2023 12:30,47.4
25/06/2023 13:00,49.5
25/06/2023 13:30,48.0
25/06/2023 14:00,50.0
25/06/2023 14:30,48.8
25/06/2023 15:00,49.4
25/06/2023 15:30,46.8
25/06/2023 16:00,48.7
25/06/2023 16:30,46.7
25/06/2023 17:00,48.8
25/06/2023 17:30,48.3
25/06/2023 18:00,48.0
25/06/2023 18:30,48.4
25/06/2023 19:00,49.0
25/06/2023 19:30,50.8
25/06/2023 20:00,49.0
26/06/2023 09:00,51.7
26/06/2023 09:30,49.8
26/06/2023 10:00,51.0
26/06/2023 10:30,50.8
26/06/2023 11:00,50.8
26/06/2023 11:30,50.6
26/06/2023 12:00,50.2
26/06/2023 12:30,51.8
26/06/2023 13:00,50.8
26/06/2023 13:30,50.8
26/06/2023 14:00,49.8
26/06/2023 14:30,51.8
26/06/2023 15:00,52.0
26/06/2023 15:30,51.4
26/06/2023 16:00,51.3
26/06/2023 16:30,55.2
26/06/2023 17:00,50.0
26/06/2023 17:30,49.8
26/06/2023 18:00,50.4
26/06/2023 18:30,51.2
26/06/2023 19:00,42.3
26/06/2023 19:30,50.5
26/06/2023 20:00,51.0
27/06/2023 09:00,52.7
27/06/2023 09:30,53.5
27/06/2023 10:00,50.0
27/06/2023 10:30,51.0
27/06/2023 11:00,51.5
27/06/2023 11:30,44.4
27/06/2023 12:00,51.2
27/06/2023 12:30,50.7
27/06/2023 13:00,50.3
27/06/2023 13:30,50.3
27/06/2023 14:00,49.7
27/06/2023 14:30,53.5
27/06/2023 15:00,52.3
27/06/2023 15:30,51.0
27/06/2023 16:00,54.0
27/06/2023 16:30,50.7
27/06/2023 17:00,50.4
27/06/2023 17:30,49.4
27/06/2023 18:00,51.2
27/06/2023 18:30,50.8
27/06/2023 19:00,49.7
27/06/2023 19:30,51.7
27/06/2023 20:00,50.3
28/06/2023 09:00,52.2
28/06/2023 09:30,50.8
28/06/2023 10:00,51.3
28/06/2023 10:30,52.2
28/06/2023 11:00,53.0
28/06/2023 11:30,50.6
28/06/2023 12:00,50.8
28/06/2023 12:30,51.0
28/06/2023 13:00,53.0
28/06/2023 13:30,51.2
28/06/2023 14:00,49.8
28/06/2023 14:30,50.0
28/06/2023 15:00,51.0
28/06/2023 15:30,50.3
28/06/2023 16:00,53.3
28/06/2023 16:30,50.8
28/06/2023 17:00,50.3
28/06/2023 17:30,50.5
28/06/2023 18:00,50.5
28/06/2023 18:30,50.5
28/06/2023 19:00,50.0
28/06/2023 19:30,50.5
28/06/2023 20:00,50.6
29/06/2023 09:00,51.2
29/06/2023 09:30,52.0
29/06/2023 10:00,50.2
29/06/2023 10:30,52.5
29/06/2023 11:00,50.3
29/06/2023 11:30,50.2
29/06/2023 12:00,49.6
29/06/2023 12:30,52.0
29/06/2023 13:00,51.7
29/06/2023 13:30,44.7
29/06/2023 14:00,51.0
29/06/2023 14:30,50.5
29/06/2023 15:00,50.2
29/06/2023 15:30,50.8
29/06/2023 16:00,49.5
29/06/2023 16:30,50.2
29/06/2023 17:00,51.3
29/06/2023 17:30,51.8
29/06/2023 18:00,51.8
29/06/2023 18:30,50.5
29/06/2023 19:00,50.5
29/06/2023 19:30,51.3
29/06/2023 20:00,51.5
30/06/2023 09:00,51.2
30/06/2023 09:30,52.5
30/06/2023 10:00,53.3
30/06/2023 10:30,52.6
30/06/2023 11:00,50.4
30/06/2023 11:30,52.8
30/06/2023 12:00,51.7
30/06/2023 12:30,51.4
30/06/2023 13:00,49.8
30/06/2023 13:30,50.2
30/06/2023 14:00,51.8
30/06/2023 14:30,51.4
30/06/2023 15:00,52.0
30/06/2023 15:30,51.8
30/06/2023 16:00,51.5
30/06/2023 16:30,51.4
30/06/2023 17:00,50.3
30/06/2023 17:30,50.3
30/06/2023 18:00,51.8
30/06/2023 18:30,50.0
30/06/2023 19:00,50.0
30/06/2023 19:30,50.8
30/06/2023 20:00,51.3
01/07/2023 09:00,51.3
01/07/2023 09:30,51.7
01/07/2023 10:00,51.0
01/07/2023 10:30,50.8
01/07/2023 11:00,50.5
01/07/2023 11:30,50.4
01/07/2023 12:00,53.5
01/07/2023 12:30,50.3
01/07/2023 13:00,50.3
01/07/2023 13:30,51.2
01/07/2023 14:00,51.6
01/07/2023 14:30,50.7
01/07/2023 15:00,49.3
01/07/2023 15:30,43.0
01/07/2023 16:00,50.7
01/07/2023 16:30,51.3
01/07/2023 17:00,52.4
01/07/2023 17:30,52.3
01/07/2023 18:00,50.8
01/07/2023 18:30,49.5
01/07/2023 19:00,51.3
01/07/2023 19:30,50.8
01/07/2023 20:00,50.6
02/07/2023 09:00,51.2
02/07/2023 09:30,50.4
02/07/2023 10:00,50.2
02/07/2023 10:30,51.2
02/07/2023 11:00,50.7
02/07/2023 11:30,49.4
02/07/2023 12:00,52.3
02/07/2023 12:30,50.8
02/07/2023 13:00,50.7
02/07/2023 13:30,50.2
02/07/2023 14:00,49.8
02/07/2023 14:30,50.5
02/07/2023 15:00,50.2
02/07/2023 15:30,50.8
02/07/2023 16:00,52.5
02/07/2023 16:30,51.0
02/07/2023 17:00,49.5
02/07/2023 17:30,49.4
02/07/2023 18:00,50.4
02/07/2023 18:30,49.5
02/07/2023 19:00,50.6
02/07/2023 19:30,49.0
02/07/2023 20:00,51.8
